Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
3,90,9.84,15.274,-23.84
3,90,10,15.5,-23.57
3,90,10.16,15.302,-24.34
3,90,10.32,15.598,-24.03
3,90,10.48,15.722,-23.81
3,90,10.64,15.582,-24.43
3,90,10.8,15.75,-24.52
3,90,10.96,15.884,-24.1
3,90,11.12,15.824,-24.42
3,90,11.28,15.624,-24.82
3,90,11.44,15.688,-25.06
3,90,11.6,15.59,-25.28
3,90,11.76,15.576,-25.54
3,90,11.92,15.746,-25.38
3,90,12.08,15.48,-26.71
3,90,12.24,15.856,-26.4
3,90,12.4,15.87,-26.79
3,90,12.56,15.71,-28.36
3,90,12.72,16.196,-28.36
3,90,12.88,16.384,-28.82
3,90,13.04,16.152,-30.35
3,90,13.2,16.73,-30.05
3,90,13.36,16.856,-29.36
3,90,13.52,17.198,-28.81
3,90,13.68,17.48,-29.2
3,90,13.84,17.472,-30.01
3,90,14,17.7,-30.15
3,90,14.16,17.934,-30.29
3,90,14.32,18.384,-30.57
3,90,14.48,17.196,-34.63
3,90,14.64,18.536,-30.92
3,90,14.8,18.4,-29.61
3,90,14.96,18.598,-28.53
3,90,15.12,18.88,-27.55
3,90,15.28,18.98,-27.57
3,90,15.44,19.354,-26.96
3,90,15.6,19.36,-27.27
3,90,15.76,19.492,-27.7
3,90,15.92,19.828,-27.35
3,90,16.08,19.848,-27.61
3,90,16.24,19.886,-28.24
3,90,16.4,19.54,-30.27
3,90,16.56,19.582,-29.35
3,90,16.72,19.032,-30.45
3,90,16.88,18.696,-31.77
3,90,17.04,18.684,-32.57
3,90,17.2,18.02,-34.41
3,90,17.36,17.364,-35.28
3,90,17.52,17.174,-35.36
3,90,17.68,16.398,-36.68
3,90,17.84,16.302,-36.61
3,90,18,16.05,-36.76
4,90,2,8.49,-13.3
4,90,2.16,9.062,-14.35
4,90,2.32,8.894,-16.76
4,90,2.48,9.486,-17.76
4,90,2.64,8.862,-19.85
4,90,2.8,9.64,-17.42
4,90,2.96,9.902,-18.41
4,90,3.12,10.514,-17.72
4,90,3.28,9.968,-20.05
4,90,3.44,10.708,-17.94
4,90,3.6,10.45,-17
4,90,3.76,9.866,-19.62
4,90,3.92,11.408,-16.14
4,90,4.08,11.358,-16.31
4,90,4.24,11.404,-17.62
4,90,4.4,11.87,-17.94
4,90,4.56,12.114,-17.7
4,90,4.72,12.406,-17.58
4,90,4.88,12.58,-17.55
4,90,5.04,13.36,-16.69
4,90,5.2,12.81,-18.61
4,90,5.36,13.24,-17.56
4,90,5.52,13.312,-16.97
4,90,5.68,13.19,-18.18
4,90,5.84,13.418,-18.03
4,90,6,13.49,-18.05
4,90,6.16,13.86,-18.18
4,90,6.32,13.542,-19.95
4,90,6.48,13.894,-20.19
4,90,6.64,13.722,-20.67
4,90,6.8,14.17,-19.33
4,90,6.96,14.268,-20.06
4,90,7.12,14.384,-20.21
4,90,7.28,14.548,-19.83
4,90,7.44,14.284,-20.05
4,90,7.6,14.48,-18.92
4,90,7.76,14.142,-21.08
4,90,7.92,14.678,-19.95
4,90,8.08,14.704,-20.1
4,90,8.24,14.848,-20.26
4,90,8.4,14.9,-20.48
4,90,8.56,15.018,-21.26
4,90,8.72,14.812,-22.49
4,90,8.88,15.312,-21.83
4,90,9.04,15.266,-22.52
4,90,9.2,15.3,-23.56
4,90,9.36,15.486,-22.58
4,90,9.52,15.238,-23.14
4,90,9.68,15.15,-23.74
4,90,9.84,15.024,-24.09
4,90,10,15.18,-23.89
4,90,10.16,15.012,-24.63
4,90,10.32,15.308,-24.32
4,90,10.48,15.422,-24.11
4,90,10.64,15.272,-24.74
4,90,10.8,15.41,-24.86
4,90,10.96,15.544,-24.44
4,90,11.12,15.504,-24.74
4,90,11.28,15.244,-25.2
4,90,11.44,15.258,-25.49
4,90,11.6,15.15,-25.72
4,90,11.76,15.176,-25.94
4,90,11.92,15.256,-25.87
4,90,12.08,15.06,-27.13
4,90,12.24,15.286,-26.97
4,90,12.4,15.44,-27.22
4,90,12.56,15.31,-28.76
4,90,12.72,15.776,-28.78
4,90,12.88,15.994,-29.21
4,90,13.04,15.752,-30.75
4,90,13.2,16.42,-30.36
4,90,13.36,16.536,-29.68
4,90,13.52,16.798,-29.21
4,90,13.68,16.94,-29.74
4,90,13.84,17.032,-30.45
4,90,14,17.27,-30.58
4,90,14.16,17.444,-30.78
4,90,14.32,17.864,-31.09
4,90,14.48,16.816,-35.01
4,90,14.64,18.096,-31.36
4,90,14.8,17.92,-30.09
4,90,14.96,18.248,-28.88
4,90,15.12,18.33,-28.1
4,90,15.28,18.4,-28.15
4,90,15.44,18.634,-27.68
4,90,15.6,18.59,-28.04
4,90,15.76,18.502,-28.69
4,90,15.92,18.868,-28.31
4,90,16.08,18.788,-28.67
4,90,16.24,18.816,-29.31
4,90,16.4,18.6,-31.21
4,90,16.56,18.672,-30.26
4,90,16.72,18.032,-31.45
4,90,16.88,17.646,-32.82
4,90,17.04,17.624,-33.63
4,90,17.2,16.89,-35.54
4,90,17.36,15.964,-36.68
4,90,17.52,15.894,-36.64
4,90,17.68,15.048,-38.03
4,90,17.84,14.892,-38.02
4,90,18,14.69,-38.12
5,90,2,8.42,-13.37
5,90,2.16,9.082,-14.33
5,90,2.32,8.844,-16.81
5,90,2.48,9.436,-17.81
5,90,2.64,8.852,-19.86
5,90,2.8,9.57,-17.49
5,90,2.96,9.962,-18.35
5,90,3.12,10.414,-17.82
5,90,3.28,9.938,-20.08
5,90,3.44,10.708,-17.94
5,90,3.6,10.34,-17.11
5,90,3.76,9.826,-19.66
5,90,3.92,11.338,-16.21
5,90,4.08,11.288,-16.38
5,90,4.24,11.354,-17.67
5,90,4.4,11.81,-18
5,90,4.56,12.054,-17.76
5,90,4.72,12.356,-17.63
5,90,4.88,12.5,-17.63
5,90,5.04,13.3,-16.75
5,90,5.2,12.64,-18.78
5,90,5.36,13.12,-17.68
5,90,5.52,13.162,-17.12
5,90,5.68,13.06,-18.31
5,90,5.84,13.278,-18.17
5,90,6,13.35,-18.19
5,90,6.16,13.74,-18.3
5,90,6.32,13.432,-20.06
5,90,6.48,13.744,-20.34
5,90,6.64,13.562,-20.83
5,90,6.8,14,-19.5
5,90,6.96,14.118,-20.21
5,90,7.12,14.164,-20.43
5,90,7.28,14.278,-20.1
5,90,7.44,14.124,-20.21
5,90,7.6,14.3,-19.1
5,90,7.76,13.922,-21.3
5,90,7.92,14.448,-20.18
5,90,8.08,14.464,-20.34
5,90,8.24,14.598,-20.51
5,90,8.4,14.65,-20.73
5,90,8.56,14.828,-21.45
5,90,8.72,14.632,-22.67
5,90,8.88,15.072,-22.07
5,90,9.04,15.036,-22.75
5,90,9.2,15.07,-23.79
5,90,9.36,15.216,-22.85
5,90,9.52,14.918,-23.46
5,90,9.68,14.78,-24.11
5,90,9.84,14.674,-24.44
5,90,10,14.75,-24.32
5,90,10.16,14.602,-25.04
5,90,10.32,14.858,-24.77
5,90,10.48,15.002,-24.53
5,90,10.64,14.832,-25.18
5,90,10.8,14.95,-25.32
5,90,10.96,15.034,-24.95
5,90,11.12,14.994,-25.25
5,90,11.28,14.714,-25.73
5,90,11.44,14.688,-26.06
5,90,11.6,14.56,-26.31
5,90,11.76,14.516,-26.6
5,90,11.92,14.596,-26.53
5,90,12.08,14.48,-27.71
5,90,12.24,14.686,-27.57
5,90,12.4,14.83,-27.83
5,90,12.56,14.75,-29.32
5,90,12.72,15.286,-29.27
5,90,12.88,15.504,-29.7
5,90,13.04,15.262,-31.24
5,90,13.2,16.09,-30.69
5,90,13.36,16.046,-30.17
5,90,13.52,16.378,-29.63
5,90,13.68,16.53,-30.15
5,90,13.84,16.512,-30.97
5,90,14,16.7,-31.15
5,90,14.16,16.804,-31.42
5,90,14.32,17.164,-31.79
5,90,14.48,16.106,-35.72
5,90,14.64,17.356,-32.1
5,90,14.8,17.04,-30.97
5,90,14.96,17.298,-29.83
5,90,15.12,17.42,-29.01
5,90,15.28,17.47,-29.08
5,90,15.44,17.644,-28.67
5,90,15.6,17.56,-29.07
5,90,15.76,17.562,-29.63
5,90,15.92,17.748,-29.43
5,90,16.08,17.628,-29.83
5,90,16.24,17.546,-30.58
5,90,16.4,17.33,-32.48
5,90,16.56,17.312,-31.62
5,90,16.72,16.632,-32.85
5,90,16.88,16.136,-34.33
5,90,17.04,16.094,-35.16
5,90,17.2,15.33,-37.1
5,90,17.36,14.514,-38.13
5,90,17.52,14.294,-38.24
5,90,17.68,13.528,-39.55
5,90,17.84,13.662,-39.25
5,90,18,13.62,-39.19
6,90,2,8.31,-13.48
6,90,2.16,9.092,-14.32
6,90,2.32,8.794,-16.86
6,90,2.48,9.376,-17.87
6,90,2.64,8.822,-19.89
6,90,2.8,9.45,-17.61
6,90,2.96,9.982,-18.33
6,90,3.12,10.334,-17.9
6,90,3.28,9.848,-20.17
6,90,3.44,10.698,-17.95
6,90,3.6,10.26,-17.19
6,90,3.76,9.736,-19.75
6,90,3.92,11.258,-16.29
6,90,4.08,11.198,-16.47
6,90,4.24,11.284,-17.74
6,90,4.4,11.73,-18.08
6,90,4.56,11.944,-17.87
6,90,4.72,12.316,-17.67
6,90,4.88,12.38,-17.75
6,90,5.04,13.2,-16.85
6,90,5.2,12.5,-18.92
6,90,5.36,13.03,-17.77
6,90,5.52,13.052,-17.23
6,90,5.68,12.87,-18.5
6,90,5.84,13.148,-18.3
6,90,6,13.21,-18.33
6,90,6.16,13.6,-18.44
6,90,6.32,13.262,-20.23
6,90,6.48,13.534,-20.55
6,90,6.64,13.362,-21.03
6,90,6.8,13.74,-19.76
6,90,6.96,13.878,-20.45
6,90,7.12,13.904,-20.69
6,90,7.28,14.008,-20.37
6,90,7.44,13.914,-20.42
6,90,7.6,14.03,-19.37
6,90,7.76,13.642,-21.58
6,90,7.92,14.198,-20.43
6,90,8.08,14.204,-20.6
6,90,8.24,14.278,-20.83
6,90,8.4,14.4,-20.98
6,90,8.56,14.538,-21.74
6,90,8.72,14.292,-23.01
6,90,8.88,14.692,-22.45
6,90,9.04,14.676,-23.11
6,90,9.2,14.71,-24.15
6,90,9.36,14.766,-23.3
6,90,9.52,14.458,-23.92
6,90,9.68,14.34,-24.55
6,90,9.84,14.274,-24.84
6,90,10,14.24,-24.83
6,90,10.16,14.192,-25.45
6,90,10.32,14.338,-25.29
6,90,10.48,14.392,-25.14
6,90,10.64,14.402,-25.61
6,90,10.8,14.36,-25.91
6,90,10.96,14.484,-25.5
6,90,11.12,14.394,-25.85
6,90,11.28,14.074,-26.37
6,90,11.44,14.078,-26.67
6,90,11.6,13.87,-27
6,90,11.76,13.806,-27.31
6,90,11.92,13.826,-27.3
6,90,12.08,13.68,-28.51
6,90,12.24,13.946,-28.31
6,90,12.4,14.22,-28.44
6,90,12.56,14.01,-30.06
6,90,12.72,14.696,-29.86
6,90,12.88,14.904,-30.3
6,90,13.04,14.702,-31.8
6,90,13.2,15.55,-31.23
6,90,13.36,15.576,-30.64
6,90,13.52,15.738,-30.27
6,90,13.68,15.82,-30.86
6,90,13.84,15.852,-31.63
6,90,14,15.96,-31.89
6,90,14.16,16.074,-32.15
6,90,14.32,16.354,-32.6
6,90,14.48,15.166,-36.66
6,90,14.64,16.476,-32.98
6,90,14.8,15.84,-32.17
6,90,14.96,16.298,-30.83
6,90,15.12,16.27,-30.16
6,90,15.28,16.28,-30.27
6,90,15.44,16.434,-29.88
6,90,15.6,16.26,-30.37
6,90,15.76,16.152,-31.04
6,90,15.92,16.268,-30.91
6,90,16.08,16.268,-31.19
6,90,16.24,16.096,-32.03
6,90,16.4,15.67,-34.14
6,90,16.56,15.662,-33.27
6,90,16.72,14.942,-34.54
6,90,16.88,14.446,-36.02
6,90,17.04,14.314,-36.94
6,90,17.2,13.57,-38.86
6,90,17.36,12.734,-39.91
6,90,17.52,12.574,-39.96
6,90,17.68,12.098,-40.98
6,90,17.84,12.442,-40.47
6,90,18,12.9,-39.91
7,90,2,8.2,-13.59
7,90,2.16,9.092,-14.32
7,90,2.32,8.744,-16.91
7,90,2.48,9.306,-17.94
7,90,2.64,8.792,-19.92
7,90,2.8,9.33,-17.73
7,90,2.96,9.952,-18.36
7,90,3.12,10.214,-18.02
7,90,3.28,9.808,-20.21
7,90,3.44,10.638,-18.01
7,90,3.6,10.23,-17.22
7,90,3.76,9.636,-19.85
7,90,3.92,11.198,-16.35
7,90,4.08,11.158,-16.51
7,90,4.24,11.214,-17.81
7,90,4.4,11.64,-18.17
7,90,4.56,11.834,-17.98
7,90,4.72,12.246,-17.74
7,90,4.88,12.27,-17.86
7,90,5.04,13.08,-16.97
7,90,5.2,12.39,-19.03
7,90,5.36,12.9,-17.9
7,90,5.52,12.912,-17.37
