Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,2,4.56,-14.146,-43.96
0,2,4.72,-16.324,-46.31
0,2,4.88,-12.51,-42.64
0,2,5.04,-9.97,-40.02
0,2,5.2,-8.87,-40.29
0,2,5.36,-8.42,-39.22
0,2,5.52,-5.828,-36.11
0,2,5.68,-5.2,-36.57
0,2,5.84,-7.352,-38.8
0,2,6,-11.94,-43.48
0,2,6.16,-11.81,-43.85
0,2,6.32,-17.108,-50.6
0,2,6.48,-20.786,-54.87
0,2,6.64,-22.198,-56.59
0,2,6.8,-26.91,-60.41
0,2,6.96,-15.922,-50.25
0,2,7.12,-12.346,-46.94
0,2,7.28,-10.052,-44.43
0,2,7.44,-9.89599999999999,-44.23
0,2,7.6,-9.24,-42.64
0,2,7.76,-7.038,-42.26
0,2,7.92,-7.882,-42.51
0,2,8.08,-10.456,-45.26
0,2,8.24,-14.952,-50.06
0,2,8.4,-20.83,-56.21
0,2,8.56,-20.662,-56.94
0,2,8.72,-19.858,-57.16
0,2,8.88,-19.848,-56.99
0,2,9.04,-21.014,-58.8
0,2,9.2,-17.14,-56
0,2,9.36,-15.104,-53.17
0,2,9.52,-12.762,-51.14
0,2,9.68,-12,-50.89
0,2,9.84,-9.916,-49.03
0,2,10,-10.4,-49.47
0,2,10.16,-13.048,-52.69
0,2,10.32,-14.492,-54.12
0,2,10.48,-16.238,-55.77
0,2,10.64,-19.768,-59.78
0,2,10.8,-21.38,-61.65
0,2,10.96,-14.646,-54.63
0,2,11.12,-15.466,-55.71
0,2,11.28,-18.126,-58.57
0,2,11.44,-18.792,-59.54
0,2,11.6,-15.44,-56.31
0,2,11.76,-12.264,-53.38
0,2,11.92,-11.374,-52.5
0,2,12.08,-11.34,-53.53
0,2,12.24,-12.154,-54.41
0,2,12.4,-10.88,-53.54
0,2,12.56,-13.89,-57.96
0,2,12.72,-18.784,-63.34
0,2,12.88,-15.146,-60.35
0,2,13.04,-19.208,-65.71
0,2,13.2,-17.98,-64.76
0,2,13.36,-16.484,-62.7
0,2,13.52,-21.582,-67.59
0,2,13.68,-20.12,-66.8
0,2,13.84,-14.488,-61.97
0,2,14,-13.87,-61.72
0,2,14.16,-10.766,-58.99
0,2,14.32,-10.566,-59.52
0,2,14.48,-11.414,-63.24
0,2,14.64,-11.224,-60.68
0,2,14.8,-13.55,-61.56
0,2,14.96,-18.452,-65.58
0,2,15.12,-19.76,-66.19
0,2,15.28,-25.83,-72.38
0,2,15.44,-20.666,-66.98
0,2,15.6,-20.22,-66.85
0,2,15.76,-20.088,-67.28
0,2,15.92,-17.652,-64.83
0,2,16.08,-18.602,-66.06
0,2,16.24,-12.344,-60.47
0,2,16.4,-13.23,-63.04
