Phi (deg),Theta (deg),Freq (GHz),Gain (dB),S21 (dB)
0,-175,15.44,-17.386,-63.7
0,-175,15.76,-14.658,-61.85
0,-175,16.08,-17.222,-64.68
0,-175,16.4,-26.05,-75.86
0,-175,16.72,-13.548,-63.03
0,-175,17.04,-24.056,-75.31
0,-175,17.36,-17.096,-69.74
0,-175,17.68,-16.012,-69.09
0,-175,18,-19.34,-72.15
0,-174,2,-5.52,-27.31
0,-174,2.32,-8.626,-34.28
0,-174,2.64,-16.808,-45.52
0,-174,2.96,-2.488,-30.8
0,-174,3.28,-7.11200000000001,-37.13
0,-174,3.6,-8.41,-35.86
0,-174,3.92,-8.882,-36.43
0,-174,4.24,-4.036,-33.06
0,-174,4.56,-8.726,-38.54
0,-174,4.88,-5.47,-35.6
0,-174,5.2,-3.72,-35.14
0,-174,5.52,-10.738,-41.02
0,-174,5.84,-2.352,-33.8
0,-174,6.16,-16.24,-48.28
0,-174,6.48,-17.086,-51.17
0,-174,6.8,-13.38,-46.88
0,-174,7.12,-15.836,-50.43
0,-174,7.44,-6.136,-40.47
0,-174,7.76,-9.628,-44.85
0,-174,8.08,-30.576,-65.38
0,-174,8.4,-9.23,-44.61
0,-174,8.72,-5.388,-42.69
0,-174,9.04,-12.944,-50.73
0,-174,9.36,-10.564,-48.63
0,-174,9.68,-4.9,-43.79
0,-174,10,-21.33,-60.4
0,-174,10.32,-6.012,-45.64
0,-174,10.64,-11.708,-51.72
0,-174,10.96,-18.526,-58.51
0,-174,11.28,-10.216,-50.66
0,-174,11.6,-2.41,-43.28
0,-174,11.92,0.225999999999999,-40.9
0,-174,12.24,-5.704,-47.96
0,-174,12.56,-6.83999999999999,-50.91
0,-174,12.88,-28.436,-73.64
0,-174,13.2,-0.699999999999996,-47.48
0,-174,13.52,-1.412,-47.42
0,-174,13.84,-1.858,-49.34
0,-174,14.16,-9.07599999999999,-57.3
0,-174,14.48,-0.29399999999999,-52.12
0,-174,14.8,-6.85,-54.86
0,-174,15.12,-10.41,-56.84
0,-174,15.44,-11.226,-57.54
0,-174,15.76,-17.238,-64.43
0,-174,16.08,-15.622,-63.08
0,-174,16.4,-19.42,-69.23
0,-174,16.72,-19.758,-69.24
0,-174,17.04,-13.866,-65.12
0,-174,17.36,-13.126,-65.77
0,-174,17.68,-13.682,-66.76
0,-174,18,-15.76,-68.57
0,-173,2,-6.29,-28.08
0,-173,2.32,-7.776,-33.43
0,-173,2.64,-19.838,-48.55
0,-173,2.96,-2.438,-30.75
0,-173,3.28,-5.75200000000001,-35.77
0,-173,3.6,-9.81,-37.26
0,-173,3.92,-10.532,-38.08
0,-173,4.24,-4.37599999999999,-33.4
0,-173,4.56,-8.326,-38.14
0,-173,4.88,-4.89,-35.02
0,-173,5.2,-4.69,-36.11
0,-173,5.52,-7.438,-37.72
0,-173,5.84,-2.772,-34.22
0,-173,6.16,-24.02,-56.06
0,-173,6.48,-20.886,-54.97
0,-173,6.8,-13.59,-47.09
0,-173,7.12,-11.526,-46.12
0,-173,7.44,-6.566,-40.9
0,-173,7.76,-6.328,-41.55
0,-173,8.08,-20.666,-55.47
0,-173,8.4,-9.84,-45.22
0,-173,8.72,-5.918,-43.22
0,-173,9.04,-13.604,-51.39
0,-173,9.36,-8.974,-47.04
0,-173,9.68,-5.65,-44.54
0,-173,10,-16.91,-55.98
0,-173,10.32,-5.282,-44.91
0,-173,10.64,-12.378,-52.39
0,-173,10.96,-17.636,-57.62
0,-173,11.28,-13.246,-53.69
0,-173,11.6,-2.83000000000001,-43.7
0,-173,11.92,-1.334,-42.46
0,-173,12.24,-3.444,-45.7
0,-173,12.56,-9.27,-53.34
0,-173,12.88,-19.236,-64.44
0,-173,13.2,-0.579999999999998,-47.36
0,-173,13.52,-1.032,-47.04
0,-173,13.84,-0.858000000000004,-48.34
0,-173,14.16,-7.066,-55.29
0,-173,14.48,-0.153999999999989,-51.98
0,-173,14.8,-5.58000000000001,-53.59
0,-173,15.12,-12.07,-58.5
0,-173,15.44,-13.876,-60.19
0,-173,15.76,-13.368,-60.56
0,-173,16.08,-9.002,-56.46
0,-173,16.4,-22.55,-72.36
0,-173,16.72,-9.758,-59.24
0,-173,17.04,-15.686,-66.94
0,-173,17.36,-14.906,-67.55
0,-173,17.68,-24.832,-77.91
0,-173,18,-15.17,-67.98
0,-172,2,-7.17,-28.96
0,-172,2.32,-7.116,-32.77
0,-172,2.64,-21.738,-50.45
0,-172,2.96,-2.598,-30.91
0,-172,3.28,-4.61200000000001,-34.63
0,-172,3.6,-11.26,-38.71
0,-172,3.92,-13.242,-40.79
0,-172,4.24,-4.616,-33.64
0,-172,4.56,-8.416,-38.23
0,-172,4.88,-4.63,-34.76
0,-172,5.2,-6.12,-37.54
0,-172,5.52,-4.998,-35.28
0,-172,5.84,-3.042,-34.49
0,-172,6.16,-27.09,-59.13
0,-172,6.48,-18.946,-53.03
